domain,site_count
googletagmanager.com,15
doubleclick.net,12
google.com,9
googlesyndication.com,8
googletagservices.com,7
captcha-delivery.com,7
googleapis.com,6
cookielaw.org,5
cloudfront.net,5
amazon-adsystem.com,5
gstatic.com,5
optimizely.com,4
rubiconproject.com,4
doubleverify.com,4
google-analytics.com,4
cloudflare.com,3
adsafeprotected.com,3
adnxs.com,3
teads.tv,3
googleadservices.com,3
2mdn.net,3
wp.com,3
gmpg.org,3
scorecardresearch.com,3
conde.digital,2
tiqcdn.com,2
tinypass.com,2
omtrdc.net,2
indexww.com,2
gobankingrates.com,2
zqtk.net,2
amazonaws.com,2
ctfassets.net,2
visualwebsiteoptimizer.com,2
mol.im,2
flashtalking.com,2
serving-sys.com,2
dailymail.com,2
connatix.com,2
kargo.com,2
yimg.com,2
youtube.com,2
criteo.com,2
taboola.com,2
